channel_elevation,channel_slope_r,channel_slope,channel_curvature,channel_dist_along,channel_dist_to_river_center,ridge1_elevation,ridge1_slope_r,ridge1_slope,ridge1_curvature,ridge1_dist_along,ridge1_dist_to_river_center,floodplain1_elevation,floodplain1_slope_r,floodplain1_slope,floodplain1_curvature,floodplain1_dist_along,floodplain1_dist_to_river_center,ridge2_elevation,ridge2_slope_r,ridge2_slope,ridge2_curvature,ridge2_dist_along,ridge2_dist_to_river_center,floodplain2_elevation,floodplain2_slope_r,floodplain2_slope,floodplain2_curvature,floodplain2_dist_along,floodplain2_dist_to_river_center,width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,type,reach_id,node_id
430.0,0.0,0.676215352969609,-0.001081111111128694,29190.00000000348,16.85171680266285,430.0,0.3243333333385649,0.676215352969609,0.010366666667013935,28890.00000000352,283.14828319729713,438.29,7.017543859641889e-05,0.676215352969609,-1.0464758387174078e-06,25980.000000002092,3193.148283198727,438.47,0.0039242424242414775,0.676215352969609,1.7102846648278422e-06,31170.000000002743,1996.8517168019243,433.44,0.03199999999996922,0.676215352969609,0.0005211658841930343,35490.000000002685,6316.851716801866,286.5,6036.88888888889,1.27852631761189,1370.0,4681166,2,4,32537.0172620123,5418.7020159512,1,62269900591,62269900590401
426.5,0.0,0.676215352969609,0.0,19650.00000000056,161.9388387101826,441.45,0.0073333333333003336,0.676215352969609,-0.000733333333327077,25320.00000000108,5831.938838710703,435.22,0.0001071428571427624,0.676215352969609,-3.0470521542276773e-06,32100.00000000131,12611.938838710932,,,,,,,,,,,,,208.5,235.25,1.27852631761189,1370.0,4679155,2,2,32680.8498137787,5418.7020159512,1,62269900591,62269900590301
424.5,0.0,0.676215352969609,0.0,10979.999999998774,8.001419353608071,440.02,0.15333333333373197,0.676215352969609,-0.0013999999999070767,16139.999999999824,5168.001419354658,435.81,0.00019047619047635062,0.676215352969609,-6.802721088457897e-07,20999.99999999949,10028.001419354325,434.84,0.003541666666666654,0.676215352969609,-8.776041666690663e-05,10289.999999999292,681.9985806458735,434.92,0.004666666666704042,0.676215352969609,5.555555555853633e-05,9149.999999999876,1821.9985806452896,155.0,387.959183673469,1.15013825478021,1370.0,4677163,2,2,32812.6963195646,4043.20906176086,1,62269900591,62269900590201
422.5,0.0,0.676215352969609,0.0,19200.000000001222,94.87419354947633,433.72,0.010999999999984023,0.676215352969609,0.0002888888888889837,25200.00000000122,6094.874193549473,431.31,0.0009066666666668209,0.676215352969609,-1.5680000000278588e-05,28680.00000000052,9574.874193548774,,,,,,,,,,,,,228.0,19.25,1.01148374277308,1370.0,4675147,2,3,32961.3232897232,4444.77758933879,1,62269900591,62269900590101
422.5,0.0,0.676215352969609,0.0,33359.99999999702,1623.6864516098321,434.81,0.0016666666666617907,0.676215352969609,5.555555555521786e-05,37889.99999999772,6153.686451610538,430.33,0.0,0.676215352969609,-2.222222222206188e-05,47339.99999999856,15603.686451611375,422.5,0.0,0.676215352969609,0.0,27959.99999999716,3776.313548390026,430.22,0.0,0.676215352969609,-2.2222222222344833e-05,26339.99999999785,5396.313548389335,276.0,1723.84,1.01148374277308,1370.0,4674920,3,3,32973.3093357038,4444.77758933879,1,62269900591,62269900590091
421.0,0.0,1.0321108356562,0.0,28139.99999999912,1.3465481807688775,423.68,0.001666666666625411,1.0321108356562,2.2222222220107985e-05,29669.99999999872,1528.653451818831,423.62,0.0,1.0321108356562,-1.11111111108962e-05,37349.9999999993,9208.653451819413,,,,,,,,,,,,,327.0,451.888888888889,1.13440086910871,1370.0,4670490,2,3,33294.5353679821,2634.45784926895,1,62269900581,62269900580421
418.0,0.0,1.0321108356562,0.0,17969.99999999741,109.72322580614127,421.75,0.006333333333261064,1.0321108356562,9.999999999455971e-05,12539.999999998816,5320.276774192453,425.13,0.003000000000051538,1.0321108356562,-0.00022222222222052987,7319.999999998451,10540.276774192818,,,,,,,,,,,,,165.0,1069.95918367347,1.03969912293041,165.0,4666476,1,1,33589.3920991033,2765.63323487938,1,62269900581,62269900580221
419.66,7.246376811590783e-05,1.0321108356562,-1.145672223176931e-07,23220.00000000192,63.313290322468674,427.06,0.07366666666759057,1.0321108356562,0.002088888888941256,14730.000000001692,8426.68670967776,422.31,0.0026666666666168215,1.0321108356562,6.666666666345042e-05,11219.99999999933,11936.686709680122,,,,,,,,,,,,,199.0,260.816326530612,1.01774377479925,199.0,4664454,1,1,33745.2106968503,2490.91096959959,1,62269900581,62269900580121
415.5,0.0,1.0321108356562,0.0,29070.00000000225,1276.7595795027555,418.78,0.0010000000000050325,1.0321108356562,7.801412872238219e-16,30780.000000002623,2986.75957950313,418.54,0.0006666666666699408,1.0321108356562,1.1111111111489056e-05,35250.00000000192,7456.759579502428,422.41,0.0013333333333400434,1.0321108356562,3.3333333333957856e-05,21570.000000001502,6223.24042049799,421.41,0.0006666666666525948,1.0321108356562,2.222222222124115e-05,17220.000000001044,10573.240420498449,271.0,711.333333333333,1.01625146628572,1370.0,4662418,2,2,33903.4265037934,4107.5801959802,1,62269900581,62269900580021
412.0,0.0,0.755758522461197,0.0,44939.99999999894,366.72012903133873,419.23,0.019666666666861395,0.755758522461197,0.0006555555555685653,49799.99999999879,5226.720129031193,416.12,2.2988505747105915e-05,0.755758522461197,-1.5061434799768013e-06,55169.99999999903,10596.720129031433,414.67,0.002333333333320656,0.755758522461197,-0.0001555555555538804,37289.99999999911,7283.279870968487,414.94,0.00018518518518523364,0.755758522461197,-1.4174668495582e-06,33899.99999999871,10673.279870968887,435.0,734.69387755102,1.07258437877047,975.0,4658030,3,4,34212.6664900912,5787.64694507734,1,62269900571,62269900570511
