channel_elevation,channel_slope_r,channel_slope,channel_curvature,channel_dist_along,channel_dist_to_river_center,ridge1_elevation,ridge1_slope_r,ridge1_slope,ridge1_curvature,ridge1_dist_along,ridge1_dist_to_river_center,floodplain1_elevation,floodplain1_slope_r,floodplain1_slope,floodplain1_curvature,floodplain1_dist_along,floodplain1_dist_to_river_center,ridge2_elevation,ridge2_slope_r,ridge2_slope,ridge2_curvature,ridge2_dist_along,ridge2_dist_to_river_center,floodplain2_elevation,floodplain2_slope_r,floodplain2_slope,floodplain2_curvature,floodplain2_dist_along,floodplain2_dist_to_river_center,width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,type,reach_id,node_id
477.0,0.0,1.31157137948454,0.0020426666666934763,3809.999999997771,372.4596774189722,722.34,0.001333333333336093,1.31157137948454,0.0001797979798005795,1529.9999999990314,1907.5403225797672,675.44,10.769999999999982,1.31157137948454,-0.011953370370371232,0.0,3437.5403225787986,691.43,-0.011000000000141426,1.31157137948454,-0.0034888888889036064,4529.999999997149,1092.45967741835,689.02,0.0,1.31157137948454,9.233716475209885e-05,5429.999999997082,1992.4596774182837,84.0,0.0,1.00399672759157,84.0,1088679,1,1,75542.9279025595,1221.36389774095,1,11495000671,11495000670781
474.5,-0.0834833333333387,1.31157137948454,-0.00011206286549709405,2429.9999999997685,269.8427419352961,673.63,0.03700000000009692,1.31157137948454,3.333333333158401e-05,4049.999999999336,1350.1572580642714,669.4,-0.0003478260869566729,1.31157137948454,2.3167401806414333e-05,4979.999999999227,2280.1572580641623,,,,,,,,,,,,,67.0,37.5555555555556,1.02315136924492,67.0,1086662,1,1,75683.813173006,2216.4642334341,1,11495000671,11495000670681
472.5,0.0,1.31157137948454,0.000620261437904877,2520.000000000333,28.57258064573125,682.55,0.14666666666994124,1.31157137948454,-0.005655555555502305,689.9999999996343,1801.4274193549672,668.67,-0.012033333333336145,1.31157137948454,0.006201638888888816,599.9999999998621,1891.4274193547394,,,,,,,,,,,,,54.0,62.8888888888889,1.12208085306842,54.0,1084667,1,1,75819.6668266508,3740.06118965354,1,11495000671,11495000670581
435.0,0.0,0.740494101603169,0.00045511111111430283,2370.000000000282,355.9838709677517,445.24,-0.0019999999999699715,0.740494101603169,-6.666666666466224e-05,1590.0000000002915,424.0161290322387,442.68,-0.013333333333461117,0.740494101603169,-0.00044444444445298863,1139.999999999763,874.0161290327671,,,,,,,,,,,,,84.0,0.0,1.22762652021154,84.0,1033352,1,1,79799.6757167648,1141.4542444149,1,11493900631,11493900630451
429.0,-0.013499999999999561,0.740494101603169,-1.8588969404185735e-05,2910.000000001199,7.306451611900684,,,,,,,,,,,,,,,,,,,,,,,,,78.0,170.979591836735,1.00194187246796,78.0,1025350,1,1,80403.4697329641,2193.86817391991,1,11493900631,11493900630051
426.5,-0.33400000000217134,0.71970305703318,-0.011175757575902662,2310.0000000003083,3.0483870965836104,436.52,0.0012727272727282466,0.71970305703318,-1.8365472910348854e-07,2280.0000000005034,26.951612903221303,436.78,0.019000000000123182,0.71970305703318,0.0015000000000182892,1650.0000000000966,656.9516129036281,,,,,,,,,,,,,65.0,21.25,1.09184922083638,65.0,1020958,1,1,80740.5880586754,2003.61874133091,1,11493900621,11493900620411
425.0,0.0,0.71970305703318,8.606060606056098e-05,2670.0000000004025,131.56451612877754,434.11,0.02216666666654622,0.71970305703318,0.0001893518518486879,3450.000000000241,911.5645161286161,431.66,-0.008000000000064861,0.71970305703318,-0.00018888888889191833,4320.000000000321,1781.5645161286961,,,,,,,,,,,,,75.0,60.16,1.06632579473933,75.0,1016945,1,1,81047.5166835767,2512.13658058041,1,11493900621,11493900620211
423.0,-0.010000000000003397,0.368467346261043,5.458937198152924e-05,2219.999999999546,0.45021462002023327,429.99,0.23299999999918797,0.368467346261043,0.008099999999944806,2249.9999999996508,30.450214620124825,429.42,-0.015666666666610825,0.368467346261043,-0.0004111111111068081,2309.999999999492,90.45021461996612,431.33,0.12166666666583323,0.368467346261043,0.003311111111063252,1500.000000000147,719.5497853793788,427.01,-0.06833333333393449,0.368467346261043,0.005377777777778256,1439.999999999837,779.549785379689,79.5,330.472222222222,1.18252539390108,79.5,1010587,1,1,81545.6467469412,5014.13065391474,1,11493900611,11493900610871
422.0,-0.012194444444449892,0.368467346261043,-1.0165516824022902e-05,6030.000000000403,23.951612903733803,506.63,0.029333333333484805,0.368467346261043,-0.0016666666666067728,4110.000000000999,1943.951612903138,471.67,-0.013955555555548069,0.368467346261043,0.00024158024691487993,2460.000000000958,3593.9516129031786,,,,,,,,,,,,,111.0,50.6666666666667,1.03633976331632,111.0,1008565,1,1,81699.1110593918,1140.20461093732,1,11493900611,11493900610771
410.0,0.0,0.559630248028944,0.017766666666755415,2099.99999999952,13.427419354296035,423.03,0.43433333333440555,0.559630248028944,0.01447777777784929,2129.9999999994457,43.42741935422191,444.13,0.7193333333351211,0.559630248028944,0.024002020202139453,2819.999999999587,733.4274193543633,,,,,,,,,,,,,73.5,191.25,1.00281973809192,73.5,990143,1,1,83095.3847218528,602.139968537584,1,11493900601,11493900600831
