channel_elevation,channel_slope_r,channel_curvature,channel_dist_along,channel_dist_to_river_center,ridge1_elevation,ridge1_slope_r,ridge1_curvature,ridge1_dist_along,ridge1_dist_to_river_center,floodplain1_elevation,floodplain1_slope_r,floodplain1_curvature,floodplain1_dist_along,floodplain1_dist_to_river_center,ridge2_elevation,ridge2_slope_r,ridge2_curvature,ridge2_dist_along,ridge2_dist_to_river_center,floodplain2_elevation,floodplain2_slope_r,floodplain2_curvature,floodplain2_dist_along,floodplain2_dist_to_river_center,width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,type,reach_id,node_id,slope
513.0,0.23499999999922014,0.00666666666661595,1289.9999999999702,3.182838709692305,523.2,0.0013333333333388408,-0.00028888888888818566,1080.0000000001012,213.18283870956134,521.6,0.0033333333333049747,1.1111111110364986e-05,600.0000000001655,693.182838709497,,,,,,,,,,,42.0,36.0,1.57826898267988,42.0,859750,1,1,5398.44809136704,1072.41730435156,1,12222000061,12222000060451,1.78385758727222
512.5,0.0,-0.0049666666666983925,1409.9999999999225,10.996387096744002,528.96,0.0,-0.00021111111111088134,809.9999999999757,589.0036129032028,527.85,0.0006666666666630186,-8.888888888898452e-05,270.0000000000693,1129.0036129031091,,,,,,,,,,,43.5,84.0,1.57826898267988,43.5,859525,1,1,5404.39003887397,1072.41730435156,1,12222000061,12222000060441,1.78385758727222
512.0,0.0,-0.009711111111118702,1680.0000000000423,10.793806451586079,527.82,0.005000000000001137,-7.777777777653985e-05,1889.9999999999677,220.7938064515115,523.47,0.0,-0.00016666666666676774,3029.9999999998827,1360.7938064514265,,,,,,,,,,,54.0,125.04,1.57826898267988,54.0,859334,1,1,5409.34166179642,1072.41730435156,1,12222000061,12222000060431,1.78385758727222
512.0,0.0,-0.006011111111145108,2099.9999999998918,11.179225806279646,526.34,0.1390000000015595,0.0034555555556528062,2549.999999999864,461.1792258062519,521.36,0.001666666666668511,-0.00012222222222327655,3689.999999999972,1601.1792258063597,,,,,,,,,,,67.0,141.04,1.45506386261979,67.0,859153,1,1,5414.29328471887,1173.44787756972,1,12222000061,12222000060421,1.78385758727222
511.5,0.0,-0.007933333333290266,2580.000000000026,9.342064516171831,525.97,0.0060000000000119446,0.0001444444444446816,3299.9999999998468,729.3420645159927,521.73,0.0009999999999920268,-0.000177777777777194,4320.000000000096,1749.3420645162423,,,,,,,,,,,84.0,61.25,1.37292711591306,84.0,858952,1,1,5420.23523222581,1240.8015930485,1,12222000061,12222000060411,1.78385758727222
511.5,0.10500000000061838,0.0034888888889301017,2129.999999999922,7.140774193487687,525.4,0.0056666666666584835,-4.582561182363487e-17,1770.0000000000057,352.8592258064284,521.68,0.004999999999994884,0.00016666666666622455,1230.0000000000073,892.8592258064268,526.86,0.020666666666628287,0.0006888888888863251,2640.000000000094,517.14077419366,523.08,0.003666666666661119,2.2222222222278314e-05,3870.000000000096,1747.1407741936619,66.0,552.138888888889,1.37292711591306,66.0,858720,1,1,5426.17717973275,1240.8015930485,1,12222000061,12222000060401,1.78385758727222
511.0,0.2099999999998027,0.002077777777793592,1650.0000000001376,1.0281290322809582,527.91,0.009666666666617538,0.00032222222221898745,2160.000000000106,511.02812903224935,526.78,0.0023333333333234703,-4.4444444446073115e-05,2489.999999999944,841.0281290320875,,,,,,,,,,,54.0,0.0,1.28544433917758,54.0,858348,1,1,5437.07075016213,1204.36133703161,1,12222000061,12222000060381,1.78385758727222
511.0,0.22633333333106265,0.004066666666526587,1290.0000000001623,13.549806451492032,526.55,0.0003333333333352938,-5.5555555555264694e-05,1709.999999999881,406.4501935482267,525.79,0.0006666666666593705,-1.1111111111439118e-05,2100.000000000156,796.4501935485016,,,,,,,,,,,42.0,99.04,1.11047878570663,42.0,858144,1,1,5442.02237308458,1131.48082499782,1,12222000061,12222000060371,1.78385758727222
516.3,0.03699999999987567,-0.00018888888889699785,1350.000000000052,11.407741935480544,526.05,0.029666666666760422,0.00028888888889071353,1589.99999999988,228.59225806434733,523.54,0.0023333333333271132,-0.00010000000000039983,2520.000000000086,1158.5922580645533,,,,,,,,,,,43.5,144.0,1.11047878570663,43.5,857951,1,1,5447.96432059152,1131.48082499782,1,12222000061,12222000060361,1.78385758727222
510.0,0.19400000000028544,0.004300000000029519,1080.0000000000498,9.861290322498007,524.28,0.00433333333333952,-0.00020000000000052956,1349.9999999998877,260.1387096773399,522.26,0.0016666666666676141,-2.2222222222392826e-05,1919.9999999999848,830.138709677437,,,,,,,,,,,33.0,20.0,1.09811495351762,33.0,857734,1,1,5453.90626809846,1013.50276087635,1,12222000061,12222000060351,1.78385758727222
