channel_elevation,channel_slope_r,channel_curvature,channel_dist_along,channel_dist_to_river_center,ridge1_elevation,ridge1_slope_r,ridge1_curvature,ridge1_dist_along,ridge1_dist_to_river_center,floodplain1_elevation,floodplain1_slope_r,floodplain1_curvature,floodplain1_dist_along,floodplain1_dist_to_river_center,ridge2_elevation,ridge2_slope_r,ridge2_curvature,ridge2_dist_along,ridge2_dist_to_river_center,floodplain2_elevation,floodplain2_slope_r,floodplain2_curvature,floodplain2_dist_along,floodplain2_dist_to_river_center,width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,type,reach_id,node_id,slope
535.0,0.0,-0.015311111110720706,1620.0000000003488,11.677161290511094,555.04,0.029666666666288245,0.0008666666666406808,1380.0000000000537,228.32283870978404,554.58,0.008000000000128451,-0.0012333333333295901,989.9999999997484,618.3228387100893,548.5,0.0636666666658535,0.0005555555555412444,1770.0000000004477,161.67716129061,549.02,0.007000000000133741,0.00018888888889740377,2009.999999999792,401.67716128995426,51.0,111.805555555556,1.03482438162692,51.0,4494241,1,1,1695.91114749765,1046.47983843034,1,62269800651,62269800650471,3.67087231539589
535.0,0.0,-0.015311111111160748,5189.999999999724,2.2499016855590526,555.04,0.02966666666628847,0.0008666666666410534,4950.000000000291,237.75009831387433,553.9,0.0006666666666767317,-0.00037777777777957554,4829.999999999713,357.75009831445277,,,,,,,,,,,51.0,111.805555555556,1.03482438162692,51.0,4494241,1,1,1695.91114749765,1046.47983843034,1,62269800651,62269800650471,3.67087231539589
545.12,0.35400000000803844,0.0063666666671182365,5579.99999999962,13.728195795911233,551.32,0.04633333333309928,-0.0016777777777538065,6090.000000000222,523.7281957965133,549.99,0.002999999999979506,4.4444444443765357e-05,6510.000000000301,943.7281957965924,,,,,,,,,,,54.0,171.632653061224,1.0399451112605,54.0,4494051,1,1,1698.16834179361,1156.25188148517,1,62269800651,62269800650461,3.67087231539589
532.5,0.231666666671135,0.007722222222520061,4259.999999999733,2.2046244055472926,546.93,0.047333333334244616,0.0015777777778385755,4469.999999999644,207.7953755943645,546.57,0.0036666666666409988,-8.888888888754147e-05,4560.000000000286,297.7953755950057,,,,,,,,,,,42.0,5.0,1.07066948906204,42.0,4493646,1,1,1702.03781772955,1814.88413981418,1,62269800651,62269800650441,3.67087231539589
554.59,0.01533333333335981,0.0005111111111129621,3480.00000000018,4.236000000312288,533.99,0.008000000000015583,-0.010155555555531772,4259.999999999977,784.2360000001095,545.63,0.09066666666684074,-0.00034444444442549067,4499.999999999827,1024.2359999999594,545.09,0.002666666666657117,3.333333333282301e-05,4859.999999999988,1384.2360000001204,,,,,,42.0,169.34693877551,1.07066948906204,42.0,4493459,1,1,1704.29501202551,1814.88413981418,1,62269800651,62269800650431,3.67087231539589
531.0,0.0,-0.012777777777926918,4229.999999999854,3.4886740643041776,545.21,0.03366666666695827,0.0007777777777911895,4499.999999999765,273.48867406421596,544.9,0.0,-2.2222222222587366e-05,4769.999999999847,543.4886740642978,,,,,,,,,,,42.0,114.4,1.07066948906204,42.0,4493228,1,1,1705.90729366548,1814.88413981418,1,62269800651,62269800650421,3.67087231539589
530.5,0.38900000000478663,0.010866666666970875,4769.999999999707,4.649592452668003,542.17,0.06299999999967294,0.0016888888888642927,4740.000000000076,34.64959245229875,543.31,0.004333333333314507,-2.2222222224765755e-05,4649.999999999942,124.64959245243335,,,,,,,,,,,48.0,36.0,1.06502583905857,48.0,4493043,1,1,1707.84203163345,1693.02328349289,1,62269800651,62269800650411,3.67087231539589
529.5,0.0,-0.01262222222225438,4859.9999999999445,3.5665066667634164,540.86,0.0016666666666710626,1.1111111111129304e-05,4800.000000000021,63.56650666668702,540.65,0.0043333333333386995,0.00014444444444480724,4680.000000000174,183.56650666653422,,,,,,,,,,,48.0,120.24,1.0368075890412,48.0,4492648,1,1,1711.38905124138,1083.71900188647,1,62269800651,62269800650391,3.67087231539589
528.5,0.0,-0.013311111111046967,6720.000000000319,2.776368282592557,541.24,0.09533333333328466,0.001377777777783189,6959.99999999997,237.2236317170582,542.29,0.01033333333328703,0.0003444444444414182,7140.000000000404,417.223631717492,542.52,0.03799999999983596,0.00021111111107658694,6419.99999999971,302.7763682832019,540.25,0.004999999999977718,0.00014444444444311155,6210.000000000075,512.7763682828372,67.0,0.0,1.0431402559878,67.0,4492451,1,1,1713.32378920935,1027.61512365442,1,62269800651,62269800650381,3.67087231539589
528.0,0.0,-0.012755555555373051,6480.000000000339,11.200596367384605,539.13,0.017000000000347064,0.0003666666666876629,6389.999999999628,101.20059636809583,539.1,0.0030000000000489913,8.888888889188045e-05,6179.999999999714,311.2005963680094,544.06,0.01866666666657317,7.777777776557064e-05,6749.999999999921,258.799403632197,544.77,0.0023333333333684903,-9.999999999871964e-05,6929.999999999822,438.7994036320979,65.0,21.25,1.05580558988099,65.0,4492244,1,1,1715.25852717732,915.407367190314,1,62269800651,62269800650371,3.67087231539589
