channel_elevation,channel_slope_r,channel_curvature,channel_dist_along,channel_dist_to_river_center,ridge1_elevation,ridge1_slope_r,ridge1_curvature,ridge1_dist_along,ridge1_dist_to_river_center,floodplain1_elevation,floodplain1_slope_r,floodplain1_curvature,floodplain1_dist_along,floodplain1_dist_to_river_center,ridge2_elevation,ridge2_slope_r,ridge2_curvature,ridge2_dist_along,ridge2_dist_to_river_center,floodplain2_elevation,floodplain2_slope_r,floodplain2_curvature,floodplain2_dist_along,floodplain2_dist_to_river_center,width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,type,reach_id,node_id,slope
244.0,0.0,0.0,14939.999999999896,3.6683698817196273,260.12,0.19599999999916795,0.0065222222221667904,14700.00000000019,243.66836988142677,251.16,0.005000000000033841,0.00015555555555771646,13649.99999999989,1293.668369881725,244.0,0.0,0.0,15150.000000000133,206.33163011851684,255.83,0.02733333333351612,-0.0009777777777770563,15299.999999999894,356.33163011827855,150.0,0.0,1.06711869103637,150.0,3668262,1,1,6569.9621123493,2314.50767592913,1,62266403261,62266403260511,1.18000405680811
243.5,0.016666666666646457,0.0,27540.000000000204,10.85001333613036,245.57,0.241333333333041,0.007388888888870975,27240.00000000016,310.850013336174,248.24,0.0006666666666652519,-0.00017777777778079412,26910.00000000008,640.850013336254,,,,,,,,,,,275.0,18060.2222222222,1.06711869103637,275.0,3668075,1,1,6579.51055133645,2314.50767592913,1,62266403261,62266403260501,1.18000405680811
243.5,0.07999999999975765,0.002666666666650504,21569.99999999985,3.158883495925693,256.47,0.05266666666650198,0.0014666666666575787,20460.00000000005,1106.8411165038742,253.2,0.0013333333333283791,-1.1111111111049802e-05,19350.000000000236,2216.8411165036887,,,,,,,,,,,216.0,1915.2,1.06711869103637,216.0,3667846,1,1,6587.46758382575,2314.50767592913,1,62266403261,62266403260491,1.18000405680811
243.5,0.0,0.0,16980.000000000007,11.351967500522733,256.47,0.0,-0.002044444444434811,15750.000000000016,1218.6480324994682,253.12,0.0,-6.66666666663539e-05,14460.00000000004,2508.6480324994445,,,,,,,,,,,169.0,196.56,1.06711869103637,169.0,3667661,1,1,6595.42461631504,2314.50767592913,1,62266403261,62266403260481,1.18000405680811
243.0,0.0,0.0,9870.000000000422,12.82089989562337,256.47,0.018999999999930448,-0.0018888888888749038,8460.000000000218,1422.820899895827,254.5,0.0013333333333669013,3.333333333528706e-05,6629.999999999544,3252.820899896501,,,,,,,,,,,97.5,468.222222222222,1.06711869103637,97.5,3667469,1,1,6604.97305530219,2314.50767592913,1,62266403261,62266403260471,1.18000405680811
243.0,0.0,0.0,12689.999999999807,1.0896381935126556,258.38,0.19133333333052616,-0.004333333333518524,12900.000000000344,211.08963819404926,245.35,0.0003333333333291067,-0.00019999999999968632,13170.000000000096,481.0896381938019,254.32,0.0939999999986262,0.0014333333332419902,11730.0000000001,958.9103618061945,253.92,0.01933333333299849,-0.00010000000002015623,10230.00000000018,2458.9103618061145,125.0,782.0,1.04372422331023,125.0,3667270,1,1,6616.1129007872,1986.49191681548,1,62266403261,62266403260461,1.18000405680811
242.5,0.0,0.0,13919.999999999976,5.016505584202605,253.77,0.025666666666702802,0.00033333333333427566,13230.00000000022,695.0165055839589,250.08,0.0010000000000013718,-0.0008777777777802212,12479.999999999787,1445.0165055843918,249.58,0.23600000000031524,0.007866666666687668,14190.000000000093,264.9834944159138,245.48,0.0,-0.00034444444444695316,14430.00000000025,504.98349441607024,138.0,187.44,1.03436643621978,138.0,3667055,1,1,6624.06993327649,1855.28561317003,1,62266403261,62266403260451,1.18000405680811
242.5,0.0,0.0,15180.00000000034,11.279837469906852,252.93,0.3476666666675101,0.01158888888894511,15329.99999999982,161.27983746938662,245.63,0.0,-0.00022222222222086682,15600.000000000324,431.2798374698905,253.02,0.020999999999936184,0.00051111111110697,14519.999999999944,648.7201625304897,248.99,0.0033333333333414304,-0.0013555555555540236,13739.999999999998,1428.7201625304351,150.0,19.2222222222222,1.03436643621978,150.0,3666876,1,1,6633.61837226364,1855.28561317003,1,62266403261,62266403260441,1.18000405680811
242.5,0.0,0.0,19200.000000000186,12.017590121060493,251.21,0.1033333333335587,-0.0001666666665973359,18690.00000000041,522.0175901208349,248.83,0.0010000000000019783,0.0,17849.99999999996,1362.017590121286,258.88,0.13966666666693758,-0.008888888888923382,19500.00000000017,287.98240987892495,245.89,0.0,-0.0009000000000034949,19709.99999999995,497.98240987870304,192.0,398.0,1.03436643621978,192.0,3666655,1,1,6643.16681125079,1855.28561317003,1,62266403261,62266403260431,1.18000405680811
242.0,0.0,0.0,21120.00000000005,10.969448990283126,248.4,0.00900000000001562,-0.0014888888888934828,20849.999999999945,259.0305510098224,245.1,0.001999999999991587,-0.0013111111111080089,20580.00000000001,529.0305510097569,265.33,0.011000000000018145,-0.006655555555576462,21930.000000000025,820.9694489902577,246.4,0.0020000000000029864,-0.0001666666666657966,22230.000000000087,1120.9694489903195,212.0,16.0,1.03436643621978,212.0,3666450,1,1,6651.12384374009,1855.28561317003,1,62266403261,62266403260421,1.18000405680811
242.0,0.0,0.0,21539.999999999563,1.1345338945029653,248.95,0.07900000000017164,0.0016333333333405523,21809.999999999774,268.86546610570804,246.13,0.0003333333333336365,-2.222222222232656e-05,22319.99999999968,778.8654661056135,249.76,0.0033333333333400157,-0.0011000000000045455,20069.999999999745,1471.134533894321,248.89,0.0006666666666682204,-4.4444444444621544e-05,19229.99999999976,2311.1345338943065,212.0,1759.6,1.01040496718684,212.0,3666237,1,1,6659.08087622938,2668.39673537897,1,62266403261,62266403260411,1.18000405680811
241.5,0.0,0.0,10590.000000000133,12.208508803438235,250.91,0.03200000000021369,0.0010444444444588272,9420.000000000002,1157.7914911966927,248.68,0.004333333333253045,2.2222222218336233e-05,8640.000000000291,1937.7914911964035,,,,,,,,,,,108.0,92.16,1.01040496718684,108.0,3666045,1,1,6667.03790871867,2668.39673537897,1,62266403261,62266403260401,1.18000405680811
241.5,0.0,0.0,12299.99999999998,4.480212112415757,248.23,0.004666666666633389,0.0001111111111095418,12120.00000000013,184.4802121122666,243.38,0.004999999999965022,6.666666666366381e-05,11700.000000000002,604.4802121123939,241.5,0.0,0.0,12450.00000000024,145.51978788784436,245.33,0.05500000000074719,0.0018333333333831396,13079.999999999636,775.5197878872405,127.0,16.0,1.01040496718684,127.0,3665864,1,1,6674.99494120796,2668.39673537897,1,62266403261,62266403260391,1.18000405680811
241.5,0.0,0.0,12360.000000000357,7.362390243955815,246.5,0.01600000000008309,-0.0008888888888903245,12569.999999999764,217.36239024336282,243.44,0.001333333333332664,-0.0003777777777798881,12839.999999999856,487.3623902434556,241.5,0.2433333333332747,0.008088888888884848,12150.00000000012,202.63760975628065,244.63,0.01733333333342206,0.0003666666666715489,11639.999999999947,712.6376097564535,127.0,0.0,1.01040496718684,127.0,3665659,1,1,6682.95197369726,2668.39673537897,1,62266403261,62266403260381,1.18000405680811
241.0,0.0,0.0,12510.000000000002,2.3551984682289913,252.85,0.08600000000121444,0.002055555555632827,12119.999999999936,387.6448015318365,243.32,0.001666666666689745,3.333333333477843e-05,11459.999999999676,1047.6448015320966,249.12,0.08233333333450145,0.0014222222223006617,13379.999999999724,872.3551984679507,244.02,0.004666666666710169,8.888888889179836e-05,13769.99999999979,1262.355198468018,127.0,83.76,1.01040496718684,127.0,3665447,1,1,6690.90900618655,2668.39673537897,1,62266403261,62266403260371,1.18000405680811
241.0,0.0,0.0,14879.999999999918,8.01073878045463,249.94,0.0,-0.00223333333336176,14489.999999999818,381.9892612196454,243.14,0.00033333333333515234,-2.2222222221655558e-05,13650.00000000013,1221.9892612193344,241.0,0.0,-0.0010555555555416545,15240.000000000078,368.0107387806147,244.9,0.03700000000023601,0.001211111111126566,15959.999999999753,1088.010738780289,150.0,189.36,1.01040496718684,150.0,3665243,1,1,6698.86603867584,2668.39673537897,1,62266403261,62266403260361,1.18000405680811
241.0,0.0,0.0,12180.000000000087,2.2407773567319964,240.5,0.0,0.0,12479.999999999984,297.7592226431643,243.69,0.0010000000000163483,-3.333333333238063e-05,12989.999999999773,807.7592226429533,251.01,0.04266666666622691,-1.1111111110903534e-05,11970.0000000002,212.24077735661922,242.93,0.0016666666666489188,-0.0002666666666697878,11190.000000000146,992.2407773566738,123.0,90.0,1.01014430116714,123.0,3665064,1,1,6708.41447766299,2496.14736829188,1,62266403261,62266403260351,1.18000405680811
240.5,0.0,0.0,11369.999999999538,8.047467011334447,248.36,0.26200000000257395,0.008733333333504916,11519.999999999762,141.9525329888893,243.0,0.00033333333332757323,1.111111111073721e-05,12720.000000000138,1341.9525329892658,246.32,0.10933333333154349,0.0030888888887732023,10890.000000000198,488.04746701067415,241.87,0.001999999999967334,6.666666666448641e-05,10230.000000000144,1148.0474670107287,112.5,58.25,1.00884097106869,112.5,3664856,1,1,6717.96291665014,1634.90053285638,1,62266403261,62266403260341,1.18000405680811
240.0,0.0,-0.0005555555555596988,11880.00000000014,6.227622859749317,253.64,0.19566666666201524,0.006522222221912154,11190.000000000313,683.7723771400779,241.74,0.0006666666666670305,-3.333333333371582e-05,10469.999999999773,1403.7723771406181,,,,,,,,,,,117.0,51.36,1.00884097106869,117.0,3664639,1,1,6725.91994913944,1634.90053285638,1,62266403261,62266403260331,1.18000405680811
256.77,0.04199999999963554,-7.777777777621568e-05,11040.000000000333,1.3483761084771686,259.36,0.3720000000062036,0.01174444444485285,10979.999999999807,58.65162389204852,241.96,0.0,-3.333333333359532e-05,10289.999999999733,748.6516238921231,249.26,0.04433333333294572,-0.006222222222308746,11190.000000000122,151.34837610826617,243.05,0.0,-0.00022222222222397468,11579.999999999724,541.3483761078678,117.0,286.56,1.00884097106869,117.0,3664451,1,1,6733.87698162873,1634.90053285638,1,62266403261,62266403260321,1.18000405680811
240.0,0.0,0.0,16470.000000000033,9.058735983384395,240.0,0.0,0.0,16500.000000000244,20.941264016826608,243.59,0.009333333333466925,0.00023333333334167987,16889.999999999753,410.9412640163355,250.44,0.1853333333320299,0.006088888888803257,15870.00000000003,609.058735983388,239.53,0.0020000000000399724,6.666666666932897e-05,14489.999999999562,1989.0587359838555,162.0,159.555555555556,1.00884097106869,162.0,3664274,1,1,6743.42542061588,1634.90053285638,1,62266403261,62266403260311,1.18000405680811
