channel_elevation,channel_slope_r,channel_curvature,channel_dist_along,channel_dist_to_river_center,ridge1_elevation,ridge1_slope_r,ridge1_curvature,ridge1_dist_along,ridge1_dist_to_river_center,floodplain1_elevation,floodplain1_slope_r,floodplain1_curvature,floodplain1_dist_along,floodplain1_dist_to_river_center,ridge2_elevation,ridge2_slope_r,ridge2_curvature,ridge2_dist_along,ridge2_dist_to_river_center,floodplain2_elevation,floodplain2_slope_r,floodplain2_curvature,floodplain2_dist_along,floodplain2_dist_to_river_center,width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,type,reach_id,node_id,slope
95.5,0.0,-0.005755555555509106,1980.000000000152,3.245161290443548,107.58,0.00666666666663988,-0.002600000000001197,2160.0000000000587,183.2451612903501,98.83,0.001333333333338635,-0.00018888888888848594,3179.999999999963,1203.2451612902546,,,,,,,,,,,65.0,89.1388888888889,1.0429273940825,65.0,572927,1,1,828.253344772087,942.787757820311,1,61204400141,61204400140311,6.42380098595151
89.5,0.0,0.0,360.000000000093,4.494967741850132,96.73,0.027000000000255948,0.0009000000000170607,179.99999999968364,184.4949677422595,95.21,1.1800000000000068,-0.038022222222646306,0.0,364.4949677419431,103.89,0.0,-0.007633333333293361,539.9999999997766,175.50503225783348,95.11,0.006666666666729946,7.777777777896145e-05,839.9999999997743,475.5050322578312,42.0,98.8055555555556,1.40829693182237,42.0,571944,1,1,836.937608900766,1004.33681488732,1,61204400141,61204400140261,6.42380098595151
90.82,0.00900000000002667,-6.66666666670435e-05,1709.9999999999152,9.778064516192899,95.47,0.043333333333296455,0.001444444444441989,1560.000000000028,159.77806451608012,93.11,0.027999999999777498,0.00015555555554462943,1380.0000000001153,339.7780645159928,,,,,,,,,,,60.0,58.25,1.5408310313608,60.0,569968,1,1,854.885088100037,1390.56140730219,1,61204400141,61204400140161,6.42380098595151
86.0,0.0,-0.007044444444433556,1710.0000000000764,3.8567741934471087,93.7,0.006999999999981647,0.00022222222222103284,1440.0000000001382,273.85677419338526,93.23,0.0006666666666652847,2.2222222222118726e-05,1229.999999999921,483.8567741936024,,,,,,,,,,,55.5,104.25,1.13104158810929,55.5,568975,1,1,863.27987675776,1134.31431048953,1,61204400141,61204400140111,6.42380098595151
84.5,0.20966666666590095,0.006722222222172104,1470.0000000000775,4.216129032148729,93.72,0.007999999999970604,-0.000855555555549316,1650.0000000001298,175.78387096790357,93.22,0.005666666666692579,4.44444444460437e-05,1769.999999999963,295.7838709677367,91.84,0.01533333333327711,0.000344444444440561,1260.000000000028,214.2161290321983,92.22,0.14766666666612746,0.0031777777777545757,1110.0000000000853,364.216129032141,48.0,76.25,1.22266064778582,48.0,567957,1,1,872.253616357396,1081.67875557198,1,61204400141,61204400140061,6.42380098595151
83.5,0.0,-0.006911111111146728,1890.000000000014,2.3249032258072475,92.41,0.021666666666398056,0.00023333333331289512,2130.000000000292,237.6750967744706,91.04,0.0006666666666582778,-0.0010555555555616964,3629.9999999999686,1737.6750967741473,,,,,,,,,,,63.0,177.34693877551,1.17471977957041,63.0,566583,1,1,1983.97037760417,1886.10074625635,1,61204400131,61204400130441,0.882142888096824
88.75,0.22500000000022852,0.007500000000015234,2579.9999999999386,4.440774193434663,102.18,0.1389999999978694,0.0011444444443522894,2310.000000000213,265.5592258062911,85.83,0.00433333333333755,-0.000377777777778559,1860.0000000001787,715.5592258063252,109.23,0.00633333333333969,-0.006977777777791968,2699.9999999998167,124.44077419331279,94.85,0.05633333333339047,-0.004422222222231209,3060.00000000004,484.4407741935361,84.0,0.0,1.0133761706704,84.0,565560,1,1,2003.85431690705,923.254798120441,1,61204400131,61204400130391,0.882142888096824
80.5,0.3899999999979842,0.008066666666555236,1770.0000000000514,6.1264516129162985,87.0,0.04233333333335502,-0.004400000000004544,1830.0000000000205,66.12645161288538,85.66,0.04466666666669014,0.00148888888889045,1889.9999999999893,126.12645161285423,,,,,,,,,,,58.5,63.8055555555556,1.2143471120668,58.5,564566,1,1,2022.41266025641,1028.23646752048,1,61204400131,61204400130341,0.882142888096824
77.5,0.0,0.0,1710.0000000001016,9.47316129030446,101.46,0.02266666666660612,0.0006999999999962704,1470.00000000004,230.52683870975716,94.63,0.29333333333255335,0.00825555555551583,1290.000000000138,410.52683870965916,,,,,,,,,,,54.0,72.8055555555556,1.19028948733992,54.0,562553,1,1,2063.50613481571,1688.18300755472,1,61204400131,61204400130241,0.882142888096824
70.5,0.0,-0.04312222222204574,1740.0000000000189,13.657548387158613,110.11,0.15033333333067303,-0.0005222222223739043,1860.0000000002808,133.65754838742055,106.48,0.004000000000054096,-0.005488888889035225,1979.999999999604,253.65754838674366,,,,,,,,,,,57.0,310.805555555556,1.29391685049823,57.0,557136,1,1,2172.20500300481,2358.64452595443,1,61204400121,61204400120421,2.25149987299892
60.5,0.0,-0.015744444444360437,1919.9999999999368,4.068387096855076,80.6,0.6700000000070481,0.02233333333380321,1949.9999999996212,34.06838709653948,78.31,0.033333333333684,-0.0002111111111155102,2099.999999999676,184.0683870965945,,,,,,,,,,,63.0,60.3333333333333,1.13021299083146,63.0,553125,1,1,2257.04314403045,1058.41088428594,1,61204400121,61204400120221,2.25149987299892
58.0,0.0,-0.015544444444348538,3060.000000000233,8.976000000432123,65.24,0.241333333328947,0.008044444444152027,3120.0000000004184,68.97600000061766,63.31,0.0,-0.0022888888888747357,3270.0000000004297,218.97600000062903,,,,,,,,,,,102.0,225.555555555556,1.05644301576011,102.0,551124,1,1,2298.13661858974,877.993354999921,1,61204400121,61204400120121,2.25149987299892
57.0,0.0,-0.024122222222459525,2819.9999999997062,1.761374956938198,61.72,0.15733333333177596,0.005244444444340621,2880.0000000003,58.2386250436557,61.31,0.013666666666936278,-0.004788888888922503,2909.999999999708,88.23862504306362,,,,,,,,,,,94.0,317.918367346939,1.23783329138767,94.0,550136,1,1,2318.68335586939,1500.10943671011,1,61204400121,61204400120071,2.25149987299892
55.0,0.0,-0.01971111111120552,2579.999999999788,13.424116822501674,59.46,0.14866666666429373,0.004955555555397359,2610.000000000267,43.42411682298052,57.19,0.012000000000046728,-0.0004666666666703045,2729.9999999997995,163.42411682251304,,,,,,,,,,,84.0,282.24,1.03875159672551,84.0,547704,1,1,2363.0908203125,1815.90099640191,1,61204400111,61204400110401,1.04914211589025
52.5,0.0,-0.009144444444408263,2850.0000000001987,6.514193548689946,65.55,0.0013333333333101374,-0.00016666666666719345,2640.000000000224,203.4858064512846,59.89,0.015999999999719523,0.00034444444442665955,1380.000000000243,1463.4858064512657,,,,,,,,,,,94.0,27.2222222222222,1.06299045164112,94.0,544707,1,1,2421.41704226763,3378.69969677223,1,61204400111,61204400110251,1.04914211589025
