channel_elevation,channel_slope_r,channel_curvature,channel_dist_along,channel_dist_to_river_center,ridge1_elevation,ridge1_slope_r,ridge1_curvature,ridge1_dist_along,ridge1_dist_to_river_center,floodplain1_elevation,floodplain1_slope_r,floodplain1_curvature,floodplain1_dist_along,floodplain1_dist_to_river_center,ridge2_elevation,ridge2_slope_r,ridge2_curvature,ridge2_dist_along,ridge2_dist_to_river_center,floodplain2_elevation,floodplain2_slope_r,floodplain2_curvature,floodplain2_dist_along,floodplain2_dist_to_river_center,width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,type,reach_id,node_id,slope
40.0,0.0,0.0,3509.999999999973,10.490322580828888,56.43,0.16399999999952028,0.0012777777777703,3240.0000000001205,259.5096774190238,46.96,0.0003333333333323272,1.1111111111046246e-05,2429.9999999996253,1069.509677419519,,,,,,,,,,,120.0,120.204081632653,1.17228482461621,120.0,247878,1,1,6808.09811540262,2876.16244042506,1,61302000121,61302000120441,0.488751416446533
40.0,0.0,0.0,3209.9999999997704,5.881677419182324,48.65,0.022666666666719227,0.0006555555555585971,2969.999999999732,234.11832258085587,47.41,0.0016666666666706994,-1.1111111111160777e-05,2699.999999999763,504.11832258082495,,,,,,,,,,,105.0,2619.76,1.24363752433272,105.0,246864,1,1,6812.66319102657,3231.33473368195,1,61302000121,61302000120391,0.488751416446533
40.0,0.0,0.0,4289.999999999875,4.692000000254666,47.02,0.006333333333272968,5.55555555544947e-05,4170.000000000385,124.69199999974535,46.66,0.0,-6.666666666718256e-05,3689.999999999922,604.6920000002083,48.84,0.0006666666666601878,2.222222222179472e-05,5430.00000000011,1135.30799999998,47.59,0.0006666666666591369,2.2222222221724656e-05,6480.00000000029,2185.30800000016,139.5,243.805555555556,1.2912059908104,139.5,245885,1,1,6817.38568305136,3468.11626251987,1,61302000121,61302000120341,0.488751416446533
39.5,0.0,0.0,4559.999999999975,9.409161290310294,46.09,0.0026666666666765536,-0.00018888888888920474,4439.999999999955,110.59083870970971,45.83,0.0009999999999998257,-3.3333333333070836e-05,4110.00000000002,440.59083870964514,46.28,0.008333333333395735,0.0001888888888927383,4709.999999999884,159.40916129021844,44.86,0.00033333333333451,-0.00020000000000065923,5009.999999999931,459.40916129026573,152.0,218.0,1.2912059908104,152.0,244900,1,1,6822.26559147696,3468.11626251987,1,61302000121,61302000120291,0.488751416446533
39.5,0.0,0.0,5400.000000000047,2.812903225744776,44.82,0.0019999999999831593,5.555555555462015e-05,5100.000000000251,297.1870967740515,43.48,0.00033333333333067936,-2.222222222252838e-05,3780.000000000048,1617.1870967742543,45.1,0.003666666666635634,6.666666666438823e-05,5849.999999999965,452.8129032256629,43.62,0.002000000000024329,4.444444444604354e-05,6989.999999999709,1592.8129032254064,164.5,284.555555555556,1.50258007400095,164.5,240923,1,1,6841.78522517939,1712.74066026563,1,61302000121,61302000120091,0.488751416446533
39.0,0.0,0.0,5189.999999999839,7.848387096860279,44.83,0.0,-2.222222222216641e-05,4920.0000000003765,277.84838709632277,43.44,0.0,0.0,3899.999999999875,1297.8483870968244,45.12,0.0006666666666656448,0.0,5430.000000000173,232.1516129034735,44.44,0.0006666666666658816,-3.3333333333237776e-05,5849.999999999835,652.1516129031361,175.0,233.916666666667,1.43781689682017,175.0,239928,1,1,6846.35030080335,1518.02047890019,1,61302000121,61302000120041,0.488751416446533
39.0,0.0,0.0,2580.0000000000705,10.255741935437982,44.62,0.009666666666651693,6.666666665997838e-05,2399.9999999996576,169.74425806497493,41.67,0.0013333333333312434,-5.55555555553806e-05,1739.9999999998238,829.7442580648087,45.46,0.0023333333333296997,-4.444444444403423e-05,2940.000000000068,370.2557419354357,43.53,0.00033333333333275165,-3.3333333333231515e-05,3750.0000000002015,1180.255741935569,87.0,77.04,1.21172664583331,87.0,238526,1,1,6853.11920603887,2318.36690839624,1,61302000111,61302000110471,0.612200984822189
38.5,0.0,0.0,4499.999999999972,9.482967741751963,44.59,0.005333333333236282,0.0001555555555492167,4260.000000000155,230.51703225806523,42.95,0.004666666666722498,0.00015555555555927703,3689.999999999788,800.5170322584318,,,,,,,,,,,150.0,1372.55555555556,1.63016512479952,536.0,237536,2,2,6858.1565308653,1906.86747305887,1,61302000111,61302000110421,0.612200984822189
38.0,0.1643333333324515,0.005344444444384134,2489.999999999921,1.624258064638525,43.71,0.0,-0.0005111111111070213,2730.000000000298,238.37574193573846,42.53,0.0003333333333388705,1.1111111111482466e-05,3179.9999999997244,688.375741935165,,,,,,,,,,,84.0,82.6875,1.63016512479952,84.0,236544,1,1,6862.4067736876,1906.86747305887,1,61302000111,61302000110371,0.612200984822189
38.0,0.0,0.0,4619.999999999913,7.302193548464857,42.62,0.0,-6.666666666659056e-05,4230.000000000163,397.30219354821475,41.77,0.0,-2.2222222222201783e-05,3120.000000000088,1507.3021935482893,38.0,0.0,0.0,4709.999999999879,82.69780645150149,42.03,0.0013333333333409446,-5.555555555493698e-05,6509.99999999997,1882.6978064515924,156.0,403.6,1.4424383370601,156.0,235546,1,2,6866.97184931156,1930.84173455839,1,61302000111,61302000110321,0.612200984822189
