river_name,reach_id,discharge_value
TAMBOPATA,62269800591,63.302
ARG_LAKE,64401700031,356.79
ARG_LAKE,64401700021,356.902
ARG_LAKE,64401700011,356.912
ARG_LAKE,64401700381,307.915
ARG_LAKE,64401700371,307.915
ARG_LAKE,64401700361,306.053
ARG_LAKE,64401700351,287.324
ARG_LAKE,64401700341,286.084
ARG_LAKE,64401700331,278.659
ARG_LAKE,64401700321,278.761
ARG_LAKE,64401700311,279.066
ARG_LAKE,64401700301,279.869
ARG_LAKE,64401700291,280.126
ARG_LAKE,64401700281,225.854
ARG_LAKE,64401700271,214.09
ARG_LAKE,64401700261,190.353
ARG_LAKE,64401700251,177.73
ARG_LAKE,64401700241,164.483
ARG_LAKE,64401500231,162.024
ARG_LAKE,64401500221,155.101
ARG_LAKE,64401500211,218.953
ARG_LAKE,64401500201,222.599
ARG_LAKE,64401500191,217.146
ARG_LAKE,64401500181,208.431
ARG_LAKE,64401500171,200.566
ARG_LAKE,64401500161,197.624
ARG_LAKE,64401500151,195.972
ARG_LAKE,64401500141,195.972
ARG_LAKE,64401500121,199.102
ARG_LAKE,64401500111,209.107
ARG_LAKE,64401500101,208.545
ARG_LAKE,64401500091,205.174
ARG_LAKE,64401500081,201.995
ARG_LAKE,64401500071,198.728
ARG_LAKE,64401500431,194.082
ARG_LAKE,64401500421,191.084
ARG_LAKE,64401400401,189.456
ARG_LAKE,64401500391,187.702
ARG_LAKE,64401500481,188.639
VENEZ_2023,61302000121,432.189
VENEZ_2023,61302000111,444.248
VENEZ_2023,61302000101,462.398
VENEZ_2023,61302000091,471.208
VENEZ_2023,61302000081,489.801
VENEZ_2023,61302000071,495.978
VENEZ_2023,61302000061,516.158
VENEZ_2023,61302000051,528.803
B1,62269900581,356.765
B1,62269900571,350.499
B1,62269900561,341.238
B1,62269900551,334.612
B1,62269900541,320.473
B1,62269900531,319.445
B1,62269900521,322.209
B1,62269900511,323.755
B1,62269900501,328.199
B1,62269900491,330.565
B1,62269900481,351.444
B1,62269900471,354.851
B1,62269900461,356.663
B1,62269900451,360.607
B1,62269900441,361.981
B1,62269900431,371.9
B1,62269900421,372.763
B1,62269900411,383.758
B1,62269900401,385.937
B1,62269900391,394.43
B1,62269900381,397.365
B1,62269900371,399.59
B14,62269200861,119.29
B14,62269200851,125.112
B14,62269200841,137.282
B14,62269200831,142.473
B14,62269200821,145.013
B14,62269201111,146.225
B14,62269201101,153.596
B14,62269201091,155.636
B14,62269201081,156.43
B14,62269201071,157.744
B14,62269201061,158.992
B14,62269201471,160.291
B14,62269201461,162.202
B14,62269201451,168.655
B14,62269201441,170.582
B14,62269201431,184.389
B14,62269201421,200.342
B14,62269201411,209.2
B14,62269201501,212.457
B14,62269201511,217.882
B14,62269200661,221.634
B14,62269200651,230.265
B14,62269200331,234.676
B14,62269200321,239.232
B14,62269200311,239.233
B14,62269200121,321.477
B14,62269200111,321.478
B14,62269200101,329.461
B14,62269200091,344.337
B14,62269200081,350.273
B14,62269200071,369.407
B14,62269200061,373.121
B14,62269200051,376.593
BERMARIVO,18192000391,693.688
BERMARIVO,18192000141,704.503
MALAWI_2014,12222000071,63.302
MALAWI_2014,12222000061,63.302
MALAWI_2014,12222000051,128.09
MALAWI_2014,12221800041,128.09
RIOPIRAI,62269800631,9.104
RIOPIRAI,62269800621,11.362
RIOPIRAI,62269800611,15.562
RIOPIRAI,62269800601,22.907
RIOPIRAI,62269800591,26.64
RUVU,11738000251,12.753
RUVU,11738000241,21.43
RUVU,11738000231,43.357
RUVU,11738000221,123.203
RUVU,11738000211,122.944
RUVU,11738000201,126.41
RUVU,11738000191,126.847
RUVU,11738000181,127.509
RUVU,11738000171,128.771
RUVU,11738000161,128.248
RUVU,11738000151,128.891
RUVU,11738000141,127.35
RUVU,11738000131,132.937
RUVU,11738000121,132.07
RUVU,11738000111,134.76
RUVU,11738000101,131.892
